Timestamp,Industry,Employees_size  , IT_size,team_size,LifeCycle_Software,Software_System,Software_system_architecture,Deployable_Components, Runtime_component_instances,Component_Communication_Styles ,Deployed_on,Computing_Model_Layers ,Release_automation_rate,upgrades_release rate,System_load_ user_requests,observability_rate,problem_discover  ,Incident_first_check_metrics, Most_common_incident ,Incidents_require_manual_ intervention,managed_incidents,Incidents_number_history,unavailability_time,Incident_diagnose_time,Deployment_techniques,third_party_tools ,new_component_in production,monitoring_information_access,alert_receiver,receive_alerts_employees,alert_rate, alert_percentage,maximum_granularity , retention _policy,reliability_availability,maturity level_improvement,adoption_main_obstacles,survey_useful,additional_comments,
8-4-2016 18:27:30,Utilities,21 - 100,1 - 5,1 - 5,"Design, Development","Enterprise Software (e.g.: CRM, supply chain management)",Client-server,1 - 3,6 - 20,"Request/response synchronous communication, One-way (no response expected) request communication, Request/response asynchronous  (response expected but non-blocking) communication",Private hosting,Virtual machines (IaaS),1,At least 1 release per week,1 - 10,2,Automatically,"Availability, Requests/response latency, Database related metrics",Buggy release of core components,"Damaged hardware, Buggy release of core components, Upgrade to a buggy third party service, CPU saturation, Memory saturation, Disk is full",,21 - 100,Less than 1 hour,6 - 20 minutes,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser",,It is released with no monitoring or relying on the existing monitoring configuration,,,No alert systems used,No alert systems used,,No monitoring data is collected,Monitoring data is not stored,,No because investing time and money on monitoring is not perceived as a profitable investment,"Applications are hard to instrument, We don’t value monitoring as a strategic investment",Yes,,
8-4-2016 20:13:19,Technology,"2,001 - 10,000",21 - 100,6 - 20,"Design, Development, Management and improvement of development/operation process",Product engineering software,Service-oriented architecture (SOA),4 - 10,101 - 500,"Request/response synchronous communication, Request/response asynchronous  (response expected but non-blocking) communication",Private hosting,Third party services (SaaS),2,1 to 10 releases per day,1 - 10,3,Manually,Availability,Wrong configuration update,Buggy release of core components,CPU saturation,21 - 100,Less than 20 minutes,21 - 60 minutes,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser, Automated checks using third party monitoring tools (e.g.: Nagios, Sensu)",,Both QoS and business metrics and checks relative to the new functionality are deployed together with the new release,"Developers, Operators",Developers,2 - 5,1 - 20 per day,1 - 5%,Over 1 minute,Monitoring data is stored as raw data forever,There is currently no way to assess the availability of our monitoring components,"Yes, we plan to improve it in the next future","There are too many tools, Lack of automation, Lack of standardization, Tools are hard to use and configure, Applications are hard to instrument",Partially,,
8-4-2016 22:05:37,Health Care,1 - 5,1 - 5,1 - 5,Development,"Enterprise Software (e.g.: CRM, supply chain management)",Client-server,4 - 10,1 - 5,Request/response synchronous communication,Private hosting,Virtual machines (IaaS),1,At least 1 release per month,1 - 10,2,Manually,Database related metrics,Buggy release of core components,"Damaged hardware, Buggy release of core components, Disk is full","CPU saturation, Memory saturation",6 - 20,Less than 12 hours,3 - 6 hours,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser",MySQL,It is released with no monitoring or relying on the existing monitoring configuration,Operators,Operators,2 - 5,At least 1 per month,1 - 5%,Over 1 minute,Monitoring data is stored as raw data forever,"There is currently no way to assess the reliability of our monitoring components, There is currently no way to assess the availability of our monitoring components","Yes, we plan to improve it in the next future","There are too many tools, Tools are hard to use and configure",Partially,,
8-4-2016 23:47:15,Technology,21 - 100,21 - 100,1 - 5,Development,Information worker software,Client-server,1 - 3,1 - 5,"Request/response synchronous communication, Request/response asynchronous  (response expected but non-blocking) communication",Hybrid hosting,Virtual machines (IaaS),2,At least 1 release per week,1 - 10,3,Manually,"Availability, Memory activity (RAM), CPU activity, Error rates",Buggy release of core components,"Damaged hardware, Buggy release of core components, Upgrade to a buggy third party service, Wrong configuration update, Memory saturation, Disk is full",,1 - 5,Less than 1 hour,1 - 2 hours,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser, Dashboards provided by third party monitoring tools","Google Analytics, MySQL, Splunk",It is released with no monitoring or relying on the existing monitoring configuration,Developers,"Developers, Operators",2 - 5,At least 1 per week,1 - 5%,No monitoring data is collected,Monitoring data is not stored,There is currently no way to assess the reliability of our monitoring components,"Yes, we plan to improve it in the next future",We don’t value monitoring as a strategic investment,Yes,,
8-5-2016 6:38:47,Financials,"501 - 2,000",101 - 500,1 - 5,"Design, Quality Assurance, Development",Big data application,"Client-server, Service-oriented architecture (SOA), Publish-subscribe",4 - 10,"501 - 2,000","Request/response synchronous communication, One-way (no response expected) request communication, Request/response asynchronous  (response expected but non-blocking) communication, Publish/subscribe communication",Private hosting,"Bare metal, Virtual machines (IaaS)",3,At least 1 release per month,11 - 100,3,Automatically,"Availability, Memory activity (RAM), CPU activity, Database related metrics",Buggy release of core components,"Damaged hardware, Buggy release of core components, CPU saturation, Disk is full",Memory saturation,1 - 5,Less than 12 hours,1 - 2 hours,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser, Automated checks using custom scripts (e.g.: cron jobs, bash, python scripts), Automated checks using third party monitoring tools (e.g.: Nagios, Sensu), Custom dashboards internally developed",,It is released with no monitoring or relying on the existing monitoring configuration,Operators,Operators,21 - 100,1 - 20 per day,More than 50%,Under the second,Monitoring data is not stored,"Reliability and availability of monitoring components are guaranteed by third party providers SLA, Monitoring components are replicated or distributed on different hosting solutions",We are always improving it,"Lack of automation, We don’t value monitoring as a strategic investment",Yes,,
8-5-2016 8:36:43,Financials,"2,001 - 10,000",101 - 500,6 - 20,"Requirement Engineering, Development",Product engineering software,Service-oriented architecture (SOA),4 - 10,"501 - 2,000","Request/response synchronous communication, One-way (no response expected) request communication, Request/response asynchronous  (response expected but non-blocking) communication",Public hosting,"Virtual machines (IaaS), Third party services (SaaS)",4,At least 1 release per week,"101 - 1,000",4,Manually,"Availability, Network activity, Requests/response latency",Network saturation,"Damaged hardware, Upgrade to a buggy third party service, Disk is full","CPU saturation, Memory saturation",6 - 20,Less than 1 hour,21 - 60 minutes,"Automated checks using third party monitoring tools (e.g.: Nagios, Sensu)","Google Analytics, IBM Tivoli",QoS metrics and checks relative to the new functionality are deployed together with the new release,Operators,"Developers, Operators, Business",6 - 20,At least 1 per week,1 - 5%,2 to 10 seconds,Monitoring data is aggregated at different granularities based on its aging,There is currently no way to assess the availability of our monitoring components,"Yes, we plan to improve it in the next future","Lack of automation, Lack of standardization",Yes,,
8-5-2016 11:40:35,Technology,"501 - 2,000",6 - 20,21 - 50,"Requirement Engineering, Design, Development, Middleware and supporting services, System administration and operation management, Management and improvement of development/operation process","Enterprise Software (e.g.: CRM, supply chain management)",Client-server,1 - 3,"501 - 2,000","Request/response synchronous communication, Request/response asynchronous  (response expected but non-blocking) communication",Private hosting,Third party services (SaaS),3,1 to 10 releases per day,"101 - 1,000",3,Manually,"CPU activity, Requests/response throughput, Requests/response latency, Database related metrics",Buggy release of core components,"Buggy release of core components, Wrong configuration update","Upgrade to a buggy third party service, CPU saturation, Memory saturation, Network saturation",21 - 100,Less than 1 hour,6 - 20 minutes,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser, Custom dashboards internally developed","MySQL, Sigar",Both QoS and business metrics and checks relative to the new functionality are deployed together with the new release,Developers,Developers,2 - 5,1 - 20 per day,1 - 5%,2 to 10 seconds,Monitoring data is not stored,There is currently no way to assess the reliability of our monitoring components,No because investing time and money on monitoring is not perceived as a profitable investment,"Lack of automation, Lack of standardization",Yes,,
8-5-2016 14:32:04,Consumer Services,6 - 20,6 - 20,1 - 5,Development,Content access software,Client-server,1 - 3,1 - 5,"Request/response synchronous communication, Request/response asynchronous  (response expected but non-blocking) communication",Private hosting,"Virtual machines (IaaS), Platform (PaaS)",1,At least 1 release per week,11 - 100,3,Manually,"Network activity, Requests/response latency, Database related metrics",Memory saturation,"Buggy release of core components, Wrong configuration update, Memory saturation",,None,No availability issues in the last year,6 - 20 minutes,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser","MySQL, Pingdom",It is released with no monitoring or relying on the existing monitoring configuration,Developers,"Developers, Business",2 - 5,At least 1 per month,1 - 5%,Over 1 minute,Monitoring data is stored as raw data forever,All or some of the monitoring components are monitored as well as core system components,"Yes, we plan to improve it in the next future",There are too many tools,Partially,,
8-5-2016 14:32:13,Consumer Services,21 - 100,21 - 100,1 - 5,Development,Content access software,Client-server,1 - 3,1 - 5,"Request/response synchronous communication, Request/response asynchronous  (response expected but non-blocking) communication",Private hosting,"Virtual machines (IaaS), Platform (PaaS)",1,At least 1 release per week,11 - 100,4,Manually,"Network activity, JVM metrics, Database related metrics",Memory saturation,"Buggy release of core components, Wrong configuration update, Memory saturation",,None,No availability issues in the last year,6 - 20 minutes,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser",MySQL,QoS metrics and checks relative to the new functionality are deployed together with the new release,Developers,"Developers, Business",2 - 5,At least 1 per month,1 - 5%,Over 1 minute,Monitoring data is aggregated at different granularities based on its aging,All or some of the monitoring components are monitored as well as core system components,"Yes, we plan to improve it in the next future","There are too many tools, Lack of standardization",Yes,,
8-5-2016 15:17:01,Utilities,101 - 500,21 - 100,6 - 20,Development,"Enterprise Software (e.g.: CRM, supply chain management)",Service-oriented architecture (SOA),21 - 50,6 - 20,"Request/response synchronous communication, One-way (no response expected) request communication, Request/response asynchronous  (response expected but non-blocking) communication, Publish/subscribe communication",Private hosting,"Bare metal, Virtual machines (IaaS)",3,At least 1 release per week,"101 - 1,000",2,Manually,"Availability, Memory activity (RAM), CPU activity, Disk activity, Network activity, Database related metrics",Buggy release of core components,"Buggy release of core components, Wrong configuration update, CPU saturation, Memory saturation, Network saturation, Disk is full",Damaged hardware,1 - 5,Less than 12 hours,1 - 2 hours,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser, Automated checks using custom scripts (e.g.: cron jobs, bash, python scripts), Custom dashboards internally developed, Dashboards provided by third party monitoring tools",Cacti,It is released with no monitoring or relying on the existing monitoring configuration,"Developers, Operators","Developers, Operators",No alert systems used,No alert systems used,,2 to 10 seconds,Monitoring data is aggregated at different granularities based on its aging,There is currently no way to assess the reliability of our monitoring components,We are always improving it,"There are too many tools, Lack of standardization, Tools are hard to use and configure",Partially,,
8-5-2016 15:48:38,Industrials,21 - 100,1 - 5,1 - 5,"System administration and operation management, Management and improvement of development/operation process","Enterprise Software (e.g.: CRM, supply chain management)",Client-server,1 - 3,6 - 20,Request/response synchronous communication,Private hosting,Virtual machines (IaaS),2,At least 1 release per year,1 - 10,2,Automatically,"Availability, Network activity, Requests/response latency",Buggy release of core components,"Damaged hardware, Buggy release of core components",,6 - 20,Less than 12 hours,6 - 20 minutes,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser, Custom dashboards internally developed",,QoS metrics and checks relative to the new functionality are deployed together with the new release,Operators,,No alert systems used,No alert systems used,,11 to 60 seconds,Monitoring data is stored as raw data forever,"There is currently no way to assess the reliability of our monitoring components, There is currently no way to assess the availability of our monitoring components",There’s no need to improve it,Lack of automation,Partially,,
8-5-2016 16:41:02,Utilities,"> 100,000",21 - 100,6 - 20,"Design, Development, Middleware and supporting services, System administration and operation management, Management and improvement of development/operation process","Enterprise Infrastructure Software (e.g.: Mail, DBs)",Client-server,1 - 3,1 - 5,"Request/response synchronous communication, Request/response asynchronous  (response expected but non-blocking) communication",Private hosting,Virtual machines (IaaS),2,At least 1 release per year,11 - 100,4,Manually,"Memory activity (RAM), CPU activity, Disk activity, Network activity, Error rates",Disk is full,"Damaged hardware, Wrong configuration update, CPU saturation, Disk is full",,21 - 100,Less than 1 hour,21 - 60 minutes,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser, Automated checks using third party monitoring tools (e.g.: Nagios, Sensu), Custom dashboards internally developed, Dashboards provided by third party monitoring tools","Zabbix, Dynatrace, XSpotter",It is released with no monitoring or relying on the existing monitoring configuration,"Operators, Business","Developers, Operators",21 - 100,21 - 100 per day,More than 50%,2 to 10 seconds,Monitoring data is aggregated at different granularities based on its aging,There is currently no way to assess the availability of our monitoring components,"Yes, we plan to improve it in the next future","Lack of standardization, Tools are hard to use and configure",Yes,,
8-5-2016 18:21:08,Technology,"2,001 - 10,000",21 - 100,6 - 20,Management and improvement of development/operation process,"Enterprise Software (e.g.: CRM, supply chain management)",Service-oriented architecture (SOA),> 100,"2,001 - 10,000","Request/response synchronous communication, One-way (no response expected) request communication, Request/response asynchronous  (response expected but non-blocking) communication, Publish/subscribe communication",Private hosting,Virtual machines (IaaS),3,At least 1 release per month,"101 - 1,000",4,Email,"Availability, Memory activity (RAM), CPU activity, Disk activity, Network activity, Database related metrics",Buggy release of core components,Buggy release of core components,,1 - 5,Less than 1 hour,6 - 20 minutes,"Automated checks using custom scripts (e.g.: cron jobs, bash, python scripts), Automated checks using third party monitoring tools (e.g.: Nagios, Sensu)",,QoS metrics and checks relative to the new functionality are deployed together with the new release,Operators,"Operators, Business",6 - 20,No alert systems used,,11 to 60 seconds,Monitoring data is aggregated at different granularities based on its aging,,We are always improving it,Applications are hard to instrument,Yes,,
8-7-2016 12:12:10,Oil & Gas,101 - 500,101 - 500,1 - 5,"Design, Development","Enterprise Software (e.g.: CRM, supply chain management)",Microservices,4 - 10,1 - 5,"Request/response synchronous communication, One-way (no response expected) request communication",Private hosting,Virtual machines (IaaS),2,At least 1 release per week,11 - 100,4,Manually,"Availability, Memory activity (RAM), CPU activity, Database related metrics",Buggy release of core components,"Buggy release of core components, Wrong configuration update, CPU saturation, Memory saturation, Network saturation, Disk is full","Damaged hardware, Incidents on third party service (e.g.: Cloud provider outage)",None,Less than 1 hour,21 - 60 minutes,"Automated checks using custom scripts (e.g.: cron jobs, bash, python scripts)",,QoS metrics and checks relative to the new functionality are deployed together with the new release,Developers,"Developers, Operators",2 - 5,,0%,2 to 10 seconds,Monitoring data is stored as raw data forever,,"Yes, we plan to improve it in the next future",Lack of standardization,Partially,,
8-7-2016 15:43:20,Technology,6 - 20,1 - 5,1 - 5,"Requirement Engineering, Design, Quality Assurance, Development","Enterprise Infrastructure Software (e.g.: Mail, DBs)","Client-server, Service-oriented architecture (SOA), Microservices",4 - 10,6 - 20,Request/response synchronous communication,Public hosting,"Virtual machines (IaaS), Platform (PaaS), Third party services (SaaS)",3,At least 1 release per month,"101 - 1,000",3,Manually,Availability,Buggy release of core components,Buggy release of core components,,1 - 5,Less than 20 minutes,6 - 20 minutes,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser",,It is released with no monitoring or relying on the existing monitoring configuration,Developers,Operators,2 - 5,At least 1 per week,1 - 5%,2 to 10 seconds,Monitoring data is stored as raw data forever,There is currently no way to assess the reliability of our monitoring components,"Yes, we plan to improve it in the next future",There are too many tools,Yes,,
8-8-2016 8:25:59,Financials,101 - 500,21 - 100,6 - 20,Development,Product engineering software,"Monolithic architecture, Service-oriented architecture (SOA)",1 - 3,1 - 5,Request/response synchronous communication,Private hosting,Virtual machines (IaaS),4,1 to 10 releases per day,1 - 10,4,Manually,Error rates,product bugs,product bugs,None,1 - 5,Less than 20 minutes,6 - 20 minutes,Custom dashboards internally developed,"DataDog, Google Analytics, Sensu, Statsd",QoS metrics and checks relative to the new functionality are deployed together with the new release,Developers,"Developers, Operators, Business",2 - 5,1 - 20 per day,21 - 50%,2 to 10 seconds,Monitoring data is stored as raw data forever,"Multiple, overlapping (or partially overlapping), monitoring solutions are used",We are always improving it,"Lack of automation, Lack of standardization",Yes,,
8-8-2016 16:33:05,education,21 - 100,1 - 5,1 - 5,System administration and operation management,Educational software,"Client-server, Service-oriented architecture (SOA)",21 - 50,51 - 100,Request/response asynchronous  (response expected but non-blocking) communication,Public hosting,Bare metal,4,At least 1 release per month,11 - 100,4,Automatically,Availability,Memory saturation,"Damaged hardware, Memory saturation, Disk is full",Memory saturation,21 - 100,Less than 20 minutes,6 - 20 minutes,"Automated checks using custom scripts (e.g.: cron jobs, bash, python scripts), Automated checks using third party monitoring tools (e.g.: Nagios, Sensu)","InfluxDB, Nagios",QoS metrics and checks relative to the new functionality are deployed together with the new release,Operators,Operators,6 - 20,1 - 20 per day,6 - 20%,11 to 60 seconds,Monitoring data is aggregated at different granularities based on its aging,All or some of the monitoring components are monitored as well as core system components,"Yes, we plan to improve it in the next future","There are too many tools, Lack of standardization, Tools are hard to use and configure",Yes,"not sure what you mean by ""first class citizen"", that isn't an idiom I'm familiar with.",
8-8-2016 16:38:59,Government,"501 - 2,000",101 - 500,6 - 20,Management and improvement of development/operation process,Case management,Service-oriented architecture (SOA),21 - 50,"501 - 2,000","Request/response synchronous communication, Request/response asynchronous  (response expected but non-blocking) communication",Private hosting,Virtual machines (IaaS),2,At least 1 release per month,"1,001 - 10,000",2,Manually,"Availability, Network activity, Requests/response throughput",Buggy release of core components,"Buggy release of core components, Wrong configuration update, Partner or other government service outage",,21 - 100,Less than 1 hour,6 - 20 minutes,"Automated checks using third party monitoring tools (e.g.: Nagios, Sensu), Custom dashboards internally developed, Dashboards provided by third party monitoring tools","Collectd, Grafana, Graphite, InfluxDB, Nagios, Statsd",It is released with no monitoring or relying on the existing monitoring configuration,Operators,Operators,2 - 5,1 - 20 per day,21 - 50%,2 to 10 seconds,Monitoring data is aggregated at different granularities based on its aging,"There is currently no way to assess the reliability of our monitoring components, There is currently no way to assess the availability of our monitoring components","Yes, we plan to improve it in the next future","There are too many tools, Tools are hard to use and configure, Current tools are not informative enough, We don’t value monitoring as a strategic investment",Yes,,
8-8-2016 16:44:10,Industrials,"10,001 - 100,000",21 - 100,6 - 20,"Development, System administration and operation management, Management and improvement of development/operation process",Product engineering software,"Monolithic architecture, Service-oriented architecture (SOA)",4 - 10,101 - 500,Request/response synchronous communication,Private hosting,"Bare metal, Virtual machines (IaaS), Linux Containers (e.g.: Docker)",4,At least 1 release per month,"101 - 1,000",3,Manually,"CPU activity, Requests/response throughput, JVM metrics",Memory saturation,"Damaged hardware, Disk is full","CPU saturation, Memory saturation",6 - 20,Less than 20 minutes,21 - 60 minutes,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser, Automated checks using third party monitoring tools (e.g.: Nagios, Sensu), Custom dashboards internally developed, Dashboards provided by third party monitoring tools","Elasticsearch, Grafana, Graphite, IBM Tivoli, JMX, Kibana, LogStash",QoS metrics and checks relative to the new functionality are deployed together with the new release,"Developers, Operators","Developers, Operators",21 - 100,At least 1 per month,6 - 20%,2 to 10 seconds,Monitoring data is aggregated at different granularities based on its aging,"Multiple, overlapping (or partially overlapping), monitoring solutions are used","Yes, we plan to improve it in the next future","Lack of standardization, Applications are hard to instrument",Yes,,
8-8-2016 17:04:50,Technology,101 - 500,6 - 20,6 - 20,"Development, System administration and operation management",Product engineering software,Client-server,4 - 10,6 - 20,"One-way (no response expected) request communication, Request/response asynchronous  (response expected but non-blocking) communication",Private hosting,Virtual machines (IaaS),2,At least 1 release per week,1 - 10,3,Phone call from customers,"JVM metrics, webserver logs",CPU saturation,Wrong configuration update,,6 - 20,Less than 1 hour,3 - 6 hours,"Automated checks using third party monitoring tools (e.g.: Nagios, Sensu)",Nagios,It is released with no monitoring or relying on the existing monitoring configuration,Operators,Operators,6 - 20,At least 1 per week,1 - 5%,Over 1 minute,Monitoring data is aggregated at different granularities based on its aging,Reliability and availability of monitoring components are guaranteed by third party providers SLA,There’s no need to improve it,Applications are hard to instrument,Partially,,
8-8-2016 22:45:56,Industrials,21 - 100,6 - 20,1 - 5,"Development, Middleware and supporting services",Factory automation software,"Event-driven, Peer-to-peer",1 - 3,6 - 20,Request/response asynchronous  (response expected but non-blocking) communication,Private hosting,Bare metal,2,At least 1 release per month,11 - 100,3,Phone call from customers,"Availability, Requests/response throughput",Buggy release of core components,Buggy release of core components,Damaged hardware,6 - 20,Less than 12 hours,6 - 20 minutes,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser, Custom dashboards internally developed","MySQL, Siemens S7",It is released with no monitoring or relying on the existing monitoring configuration,Developers,Developers,2 - 5,At least 1 per week,6 - 20%,No monitoring data is collected,Monitoring data is not stored,Reliability and availability of monitoring components are guaranteed by third party providers SLA,We are always improving it,"Lack of standardization, Current tools are not informative enough",Yes,"Our system is for automation plant, it is composed at least of one PLC  and one PC communicating between each other",
8-8-2016 21:09:05,Technology,21 - 100,1 - 5,1 - 5,"System administration and operation management, Management and improvement of development/operation process",Big data application,"Monolithic architecture, Service-oriented architecture (SOA)",4 - 10,6 - 20,"Request/response synchronous communication, Request/response asynchronous  (response expected but non-blocking) communication, Publish/subscribe communication",Private hosting,"Bare metal, Virtual machines (IaaS), Third party services (SaaS)",4,At least 1 release per month,1 - 10,3,"Email, Phone call from customers","Disk activity, Network activity, JVM metrics, Database related metrics",Disk is full,"Buggy release of core components, Wrong configuration update, Memory saturation, Disk is full",none,6 - 20,More than 12 hours,1 - 2 hours,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser, Automated checks using custom scripts (e.g.: cron jobs, bash, python scripts), Automated checks using third party monitoring tools (e.g.: Nagios, Sensu)","Elasticsearch, Icinga, JMX, Kibana, LogStash",It is released with no monitoring or relying on the existing monitoring configuration,Operators,,No alert systems used,No alert systems used,,Over 1 minute,Monitoring data is stored as raw data forever,"There is currently no way to assess the reliability of our monitoring components, There is currently no way to assess the availability of our monitoring components",We are always improving it,We don’t value monitoring as a strategic investment,No,,
8-9-2016 8:25:54,Financials,21 - 100,21 - 100,21 - 50,Development,Business intelligence software,"Client-server, Service-oriented architecture (SOA), Event-driven",1 - 3,1 - 5,"Request/response synchronous communication, Request/response asynchronous  (response expected but non-blocking) communication",Private hosting,Virtual machines (IaaS),3,At least 1 release per month,11 - 100,4,Manually,Error rates,Incidents on third party service (e.g.: Cloud provider outage),"Wrong configuration update, Disk is full",,6 - 20,Less than 1 hour,6 - 20 minutes,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser, Custom dashboards internally developed",,It is released with no monitoring or relying on the existing monitoring configuration,Developers,"Developers, Business",2 - 5,21 - 100 per day,More than 50%,2 to 10 seconds,No policy,There is currently no way to assess the reliability of our monitoring components,No because investing time and money on monitoring is not perceived as a profitable investment,"Lack of standardization, Applications are hard to instrument, Current tools are not informative enough",Yes,Sono uno sviluppatore le mie risposte sono inerenti solo a progetti che mi competono e nn sono del tutto attendibili in quanto nn sono un sistemista.,
8-9-2016 9:19:53,Consumer Services,"501 - 2,000",101 - 500,6 - 20,System administration and operation management,Entertainment,Service-oriented architecture (SOA),51 - 100,"501 - 2,000",Request/response asynchronous  (response expected but non-blocking) communication,Private hosting,"Bare metal, Virtual machines (IaaS), Linux Containers (e.g.: Docker)",5,At least 1 release per week,"101 - 1,000",3,"App notification (e.g.: Pagerduty, Slack), Visual or sound alarms in the office","Requests/response latency, Error rates",Wrong configuration update,"Damaged hardware, Buggy release of core components, Wrong configuration update, Disk is full","Buggy release of core components, Wrong configuration update",6 - 20,Less than 20 minutes,6 - 20 minutes,"Automated checks using third party monitoring tools (e.g.: Nagios, Sensu), Dashboards provided by third party monitoring tools","Apache Kafka, Collectd, Elasticsearch, Grafana, Kibana, LogStash, Nagios, RabbitMQ",Both QoS and business metrics and checks relative to the new functionality are deployed together with the new release,"Developers, Operators","Developers, Operators",> 100,21 - 100 per day,6 - 20%,11 to 60 seconds,Monitoring data is aggregated at different granularities based on its aging,"There is currently no way to assess the reliability of our monitoring components, All or some of the monitoring components are monitored as well as core system components",We are always improving it,"Tools are hard to use and configure, Applications are hard to instrument, Current tools are not informative enough",Partially,,
8-9-2016 9:20:31,Technology,6 - 20,6 - 20,1 - 5,Management and improvement of development/operation process,Entertainment,Microservices,4 - 10,1 - 5,"Request/response synchronous communication, Publish/subscribe communication",Private hosting,Bare metal,3,At least 1 release per week,"1,001 - 10,000",2,Manually,"Availability, CPU activity, Network activity, Error rates",Buggy release of core components,"Buggy release of core components, Upgrade to a buggy third party service, Wrong configuration update",,1 - 5,Less than 12 hours,21 - 60 minutes,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser, Automated checks using custom scripts (e.g.: cron jobs, bash, python scripts)",Google Analytics,It is released with no monitoring or relying on the existing monitoring configuration,"Developers, Operators, Business","Developers, Operators, Business",6 - 20,1 - 20 per day,6 - 20%,One second,Monitoring data is stored as raw data forever,,No because investing time and money on monitoring is not perceived as a profitable investment,We don’t value monitoring as a strategic investment,Yes,,
8-9-2016 10:39:51,Technology,1 - 5,1 - 5,1 - 5,"Requirement Engineering, Design, Quality Assurance, Development, Middleware and supporting services, System administration and operation management, Management and improvement of development/operation process",Business intelligence software,"Client-server, Service-oriented architecture (SOA)",1 - 3,1 - 5,Request/response asynchronous  (response expected but non-blocking) communication,Public hosting,"Virtual machines (IaaS), Platform (PaaS)",4,1 to 10 releases per day,1 - 10,4,Manually,"Availability, Memory activity (RAM), CPU activity, Disk activity, Network activity, Requests/response throughput, Requests/response latency, JVM metrics, Database related metrics, Error rates",Incidents on third party service (e.g.: Cloud provider outage),"Damaged hardware, Buggy release of core components, Upgrade to a buggy third party service, Wrong configuration update, CPU saturation, Memory saturation, Network saturation, Disk is full, Incidents on third party service (e.g.: Cloud provider outage)","Damaged hardware, Buggy release of core components, Upgrade to a buggy third party service, Wrong configuration update, CPU saturation, Memory saturation, Network saturation, Disk is full, Incidents on third party service (e.g.: Cloud provider outage)",6 - 20,Less than 1 hour,1 - 2 hours,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser, Automated checks using custom scripts (e.g.: cron jobs, bash, python scripts), Automated checks using third party monitoring tools (e.g.: Nagios, Sensu), Custom dashboards internally developed, Dashboards provided by third party monitoring tools","AppDynamics, Azure Application Insight, Consul, Google Analytics, Google Cloud Monitoring, IBM Tivoli, MySQL",Both QoS and business metrics and checks relative to the new functionality are deployed together with the new release,"Developers, Operators","Developers, Operators",2 - 5,1 - 20 per day,1 - 5%,Over 1 minute,Monitoring data is aggregated at different granularities based on its aging,"There is currently no way to assess the reliability of our monitoring components, There is currently no way to assess the availability of our monitoring components, All or some of the monitoring components are monitored as well as core system components, Reliability and availability of monitoring components are guaranteed by third party providers SLA",We are always improving it,"There are too many tools, Lack of automation, Tools are hard to use and configure, Applications are hard to instrument, Current tools are not informative enough, We don’t value monitoring as a strategic investment",Yes,N/a,
8-9-2016 13:53:52,Telecommunications,"2,001 - 10,000",101 - 500,6 - 20,System administration and operation management,"Enterprise Infrastructure Software (e.g.: Mail, DBs)",Client-server,> 100,"> 10,000",One-way (no response expected) request communication,Private hosting,"Bare metal, Virtual machines (IaaS)",2,At least 1 release per month,11 - 100,2,Manually,Availability,Damaged hardware,"Damaged hardware, Buggy release of core components, Upgrade to a buggy third party service, Wrong configuration update, CPU saturation, Memory saturation, Network saturation, Disk is full, Incidents on third party service (e.g.: Cloud provider outage)",,"> 1,000",Less than 12 hours,21 - 60 minutes,"Automated checks using third party monitoring tools (e.g.: Nagios, Sensu)","SolarWinds, Microsoft SCOM, Oracle Cloud Control",It is released with no monitoring or relying on the existing monitoring configuration,Operators,Operators,21 - 100,1 - 20 per day,More than 50%,No monitoring data is collected,Monitoring data is not stored,"There is currently no way to assess the reliability of our monitoring components, There is currently no way to assess the availability of our monitoring components",No because investing time and money on monitoring is not perceived as a profitable investment,"There are too many tools, Lack of automation, Tools are hard to use and configure, Current tools are not informative enough, We don’t value monitoring as a strategic investment",No,,
